street_number,route,locality-political,administrative_area_level_2-political,administrative_area_level_1-political,country-political,postal_code,address,longitude,latitude,neighborhood-political,postal_code_suffix,establishment-point_of_interest-transit_station,establishment-park-point_of_interest,premise,establishment-point_of_interest-subway_station-transit_station,airport-establishment-finance-moving_company-point_of_interest-storage,subpremise,bus_station-establishment-point_of_interest-transit_station,establishment-park-point_of_interest-tourist_attraction,establishment-natural_feature,airport-establishment-point_of_interest,political-sublocality-sublocality_level_1,administrative_area_level_3-political,post_box,establishment-light_rail_station-point_of_interest-transit_station,establishment-point_of_interest,aquarium-establishment-park-point_of_interest-tourist_attraction-zoo,campground-establishment-lodging-park-point_of_interest-rv_park-tourist_attraction,cemetery-establishment-park-point_of_interest
3853,High Street,Oakland,Alameda County,California,United States,94619,"3853 High St, Oakland, CA 94619, USA",-122.19,37.79,Redwood Heights,2150,,,,,,,,,,,,,,,,,,
2172,Rosedale Avenue,Oakland,Alameda County,California,United States,94601,"2172 Rosedale Ave, Oakland, CA 94601, USA",-122.21,37.78,Jefferson,4326,,,,,,,,,,,,,,,,,,
5901,Coliseum Way,Oakland,Alameda County,California,United States,94621,"5901 Coliseum Way, Oakland, CA 94621, USA",-122.21,37.76,Coliseum Industrial,4041,,,,,,,,,,,,,,,,,,
4801,East 14th Street,Oakland,Alameda County,California,United States,94601,"4801 E 14th St, Oakland, CA 94601, USA",-122.21,37.77,Melrose,5211,,,,,,,,,,,,,,,,,,
1817,55th Avenue,Oakland,Alameda County,California,United States,94621,"1817 55th Ave, Oakland, CA 94621, USA",-122.2,37.77,Wentworth Holland,4313,,,,,,,,,,,,,,,,,,
2521,61st Avenue,Oakland,Alameda County,California,United States,94605,"2521 61st Ave, Oakland, CA 94605, USA",-122.19,37.77,,1403,,,,,,,,,,,,,,,,,,
4734,Walnut Street,Oakland,Alameda County,California,United States,94619,"4734 Walnut St, Oakland, CA 94619, USA",-122.2,37.78,Maxwell Park,2585,,,,,,,,,,,,,,,,,,
3216,Madera Avenue,Oakland,Alameda County,California,United States,94619,"3216 Madera Ave, Oakland, CA 94619, USA",-122.19,37.78,Maxwell Park,3413,,,,,,,,,,,,,,,,,,
5000,MacArthur Boulevard,Oakland,Alameda County,California,United States,94613,"5000 MacArthur Blvd, Oakland, CA 94613, USA",-122.18,37.78,Mills College,1000,,,,,,,,,,,,,,,,,,
4281,Knoll Avenue,Oakland,Alameda County,California,United States,94619,"4281 Knoll Ave, Oakland, CA 94619, USA",-122.18,37.79,Leona Heights,3024,,,,,,,,,,,,,,,,,,
411,Creighton Way,Oakland,Alameda County,California,United States,94619,"411 Creighton Way, Oakland, CA 94619, USA",-122.18,37.8,Crestmont,2307,,,,,,,,,,,,,,,,,,
29,Graeagle Street,Oakland,Alameda County,California,United States,94605,"29 Graeagle St, Oakland, CA 94605, USA",-122.13,37.77,Sequoyah,4201,,,,,,,,,,,,,,,,,,
5600,Denton Place,Oakland,Alameda County,California,United States,94619,"5600 Denton Pl, Oakland, CA 94619, USA",-122.16,37.79,Skyline-Hillcrest Estates,3108,,,,,,,,,,,,,,,,,,
6374,Sunnymere Avenue,Oakland,Alameda County,California,United States,94605,"6374 Sunnymere Ave, Oakland, CA 94605, USA",-122.17,37.78,Millsmont,2266,,,,,,,,,,,,,,,,,,
7316,Ney Avenue,Oakland,Alameda County,California,United States,94605,"7316 Ney Ave, Oakland, CA 94605, USA",-122.17,37.77,Eastmont Hills,2912,,,,,,,,,,,,,,,,,,
7833,Greenly Drive,Oakland,Alameda County,California,United States,94605,"7833 Greenly Dr, Oakland, CA 94605, USA",-122.16,37.77,Eastmont Hills,3016,,,,,,,,,,,,,,,,,,
2216,82nd Avenue,Oakland,Alameda County,California,United States,94605,"2216 82nd Ave, Oakland, CA 94605, USA",-122.17,37.76,Eastmont,,,,,,,,,,,,,,,,,,,
1615,78th Avenue,Oakland,Alameda County,California,United States,94621,"1615 78th Ave, Oakland, CA 94621, USA",-122.18,37.76,Arroyo Viejo,2621,,,,,,,,,,,,,,,,,,
6681,Foothill Boulevard,Oakland,Alameda County,California,United States,94605,"6681 Foothill Blvd, Oakland, CA 94605, USA",-122.18,37.77,Bancroft Business,,,,,,,,,,,,,,,,,,,
1225,70th Avenue,Oakland,Alameda County,California,United States,94621,"1225 70th Ave, Oakland, CA 94621, USA",-122.19,37.76,Coliseum,,,,,,,,,,,,,,,,,,,
971,66th Avenue,Oakland,Alameda County,California,United States,94621,"971 66th Ave, Oakland, CA 94621, USA",-122.2,37.76,Lockwood Gardens,,,,,,,,,,,,,,,,,,,
,Unnamed Road,Oakland,Alameda County,California,United States,94621,"Unnamed Road, Oakland, CA 94621, USA",-122.2,37.75,Coliseum Industrial,,,,,,,,,,,,,,,,,,,
810,81st Avenue,Oakland,Alameda County,California,United States,94621,"810 81st Ave, Oakland, CA 94621, USA",-122.19,37.75,Woodland,,,,,,,,,,,,,,,,,,,
8900,Edes Avenue,Oakland,Alameda County,California,United States,94621,"8900 Edes Ave, Oakland, CA 94621, USA",-122.19,37.74,Coliseum Industrial,,,,,,,,,,,,,,,,,,,
,,Oakland,Alameda County,California,United States,94603,"98th Av:San Leandro St, Oakland, CA 94603, USA",-122.18,37.74,Elmhurst Park,,98th Av:San Leandro St,,,,,,,,,,,,,,,,,
9875,Koford Road,Oakland,Alameda County,California,United States,94603,"9875 Koford Rd, Oakland, CA 94603, USA",-122.19,37.73,Columbia Gardens,2013,,,,,,,,,,,,,,,,,,
460,105th Avenue,Oakland,Alameda County,California,United States,94603,"460 105th Ave, Oakland, CA 94603, USA",-122.18,37.73,,2968,,,,,,,,,,,,,,,,,,
10206,Graffian Street,Oakland,Alameda County,California,United States,94603,"10206 Graffian St, Oakland, CA 94603, USA",-122.17,37.74,North Stonehurst,3138,,,,,,,,,,,,,,,,,,
720,Matoza Lane,San Leandro,Alameda County,California,United States,94577,"720 Matoza Ln, San Leandro, CA 94577, USA",-122.17,37.73,Davis Tract,1575,,,,,,,,,,,,,,,,,,
1152,87th Avenue,Oakland,Alameda County,California,United States,94621,"1152 87th Ave, Oakland, CA 94621, USA",-122.18,37.75,Highland,1614,,,,,,,,,,,,,,,,,,
9222,Plymouth Street,Oakland,Alameda County,California,United States,94603,"9222 Plymouth St, Oakland, CA 94603, USA",-122.17,37.75,Cox,1642,,,,,,,,,,,,,,,,,,
8624,Seneca Street,Oakland,Alameda County,California,United States,94605,"8624 Seneca St, Oakland, CA 94605, USA",-122.16,37.76,Oak Knoll Golf Links,4010,,,,,,,,,,,,,,,,,,
9721,Hillgrade Court,Oakland,Alameda County,California,United States,94603,"9721 Hillgrade Ct, Oakland, CA 94603, USA",-122.16,37.75,Castlemont,1955,,,,,,,,,,,,,,,,,,
9201,Crest Avenue,Oakland,Alameda County,California,United States,94605,"9201 Crest Ave, Oakland, CA 94605, USA",-122.15,37.76,Oak Knoll Golf Links,4423,,,,,,,,,,,,,,,,,,
8117,Coach Drive,Oakland,Alameda County,California,United States,94605,"8117 Coach Dr, Oakland, CA 94605, USA",-122.14,37.77,Sequoyah,4204,,,,,,,,,,,,,,,,,,
191,Sequoyah View Drive,Oakland,Alameda County,California,United States,94605,"191 Sequoyah View Dr, Oakland, CA 94605, USA",-122.14,37.76,Sequoyah,4908,,,,,,,,,,,,,,,,,,
320,Elysian Fields Drive,Oakland,Alameda County,California,United States,94605,"320 Elysian Fields Dr, Oakland, CA 94605, USA",-122.13,37.76,Sequoyah,5006,,,,,,,,,,,,,,,,,,
65,Tate Terrace,Oakland,Alameda County,California,United States,94605,"65 Tate Terrace, Oakland, CA 94605, USA",-122.12,37.75,Chabot Park,5723,,,,,,,,,,,,,,,,,,
120,Maggiora Drive,Oakland,Alameda County,California,United States,94605,"120 Maggiora Dr, Oakland, CA 94605, USA",-122.14,37.75,Sequoyah,5336,,,,,,,,,,,,,,,,,,
4303,Aberfoil Avenue,Oakland,Alameda County,California,United States,94605,"4303 Aberfoil Ave, Oakland, CA 94605, USA",-122.13,37.75,Chabot Park,5501,,,,,,,,,,,,,,,,,,
,,Oakland,Alameda County,California,United States,94605,"Chabot Park, Oakland, CA 94605, USA",-122.13,37.74,Chabot Park,,,,,,,,,,,,,,,,,,,
9777,Golf Links Road,Oakland,Alameda County,California,United States,94605,"9777 Golf Links Rd, Oakland, CA 94605, USA",-122.15,37.75,Sequoyah,4925,,,,,,,,,,,,,,,,,,
265,Hollister Court,San Leandro,Alameda County,California,United States,94577,"265 Hollister Ct, San Leandro, CA 94577, USA",-122.15,37.74,Broadmoor,,,,,,,,,,,,,,,,,,,
1939,107th Avenue,Oakland,Alameda County,California,United States,94603,"1939 107th Ave, Oakland, CA 94603, USA",-122.16,37.74,Durant Manor,3905,,,,,,,,,,,,,,,,,,
145,Carmel Avenue,El Cerrito,Contra Costa County,California,United States,94530,"145 Carmel Ave, El Cerrito, CA 94530, USA",-122.29,37.9,,4114,,,,,,,,,,,,,,,,,,
910,Carmel Avenue,Albany,Alameda County,California,United States,94706,"910 Carmel Ave, Albany, CA 94706, USA",-122.29,37.89,,2106,,,,,,,,,,,,,,,,,,
1639,El Cerrito Plaza,El Cerrito,Contra Costa County,California,United States,94530,"1639 El Cerrito Plaza, El Cerrito, CA 94530, USA",-122.3,37.9,,,,,,,,,,,,,,,,,,,,
1006,Solano Avenue,Albany,Alameda County,California,United States,94706,"1006 Solano Ave, Albany, CA 94706, USA",-122.3,37.89,,1618,,,,,,,,,,,,,,,,,,
,Castle Trail,Albany,Alameda County,California,United States,94710,"Castle Trail, Albany, CA 94710, USA",-122.33,37.89,,,,,,,,,,,,,,,,,,,,
,Perimeter Trail,Berkeley,Alameda County,California,United States,94720,"Perimeter Trail, Berkeley, CA 94720, USA",-122.34,37.88,Berkeley Marina,,,,,,,,,,,,,,,,,,,
1338,Neilson Street,Berkeley,Alameda County,California,United States,94702,"1338 Neilson St, Berkeley, CA 94702, USA",-122.29,37.88,Northwest Berkeley,1116,,,,,,,,,,,,,,,,,,
1400,McGee Avenue,Berkeley,Alameda County,California,United States,94703,"1400 McGee Ave, Berkeley, CA 94703, USA",-122.28,37.88,North Berkeley,1041,,,,,,,,,,,,,,,,,,
35,Alamo Avenue,Berkeley,Alameda County,California,United States,94708,"35 Alamo Ave, Berkeley, CA 94708, USA",-122.27,37.9,Berkeley Hills,1327,,,,,,,,,,,,,,,,,,
710,Wildcat Canyon Road,Berkeley,Alameda County,California,United States,94708,"710 Wildcat Canyon Rd, Berkeley, CA 94708, USA",-122.26,37.9,Berkeley Hills,1537,,,,,,,,,,,,,,,,,,
2047,Los Angeles Avenue,Berkeley,Alameda County,California,United States,94707,"2047 Los Angeles Ave, Berkeley, CA 94707, USA",-122.27,37.89,Berkeley Hills,2428,,,,,,,,,,,,,,,,,,
1800,San Ramon Avenue,Berkeley,Alameda County,California,United States,94707,"1800 San Ramon Ave, Berkeley, CA 94707, USA",-122.28,37.9,Berkeley Hills,1630,,,,,,,,,,,,,,,,,,
935,Modoc Street,Berkeley,Alameda County,California,United States,94707,"935 Modoc St, Berkeley, CA 94707, USA",-122.28,37.89,Berkeley Hills,2207,,,,,,,,,,,,,,,,,,
41,Hill Road,Berkeley,Alameda County,California,United States,94708,"41 Hill Rd, Berkeley, CA 94708, USA",-122.25,37.89,Berkeley Hills,2131,,,,,,,,,,,,,,,,,,
1119,Cragmont Avenue,Berkeley,Alameda County,California,United States,94708,"1119 Cragmont Ave, Berkeley, CA 94708, USA",-122.26,37.89,Berkeley Hills,1641,,,,,,,,,,,,,,,,,,
1546,Le Roy Avenue,Berkeley,Alameda County,California,United States,94708,"1546 Le Roy Ave, Berkeley, CA 94708, USA",-122.26,37.88,Berkeley Hills,1942,,,,,,,,,,,,,,,,,,
2036,Vine Street,Berkeley,Alameda County,California,United States,94709,"2036 Vine St, Berkeley, CA 94709, USA",-122.27,37.88,North Berkeley,2034,,,,,,,,,,,,,,,,,,
901,Gilman Street,Berkeley,Alameda County,California,United States,94710,"901 Gilman St, Berkeley, CA 94710, USA",-122.3,37.88,Northwest Berkeley,1423,,,,,,,,,,,,,,,,,,
1802,Fifth Street,Berkeley,Alameda County,California,United States,94710,"1802 Fifth St, Berkeley, CA 94710, USA",-122.3,37.87,Northwest Berkeley,1915,,,,,,,,,,,,,,,,,,
620,Bancroft Way,Berkeley,Alameda County,California,United States,94710,"620 Bancroft Way, Berkeley, CA 94710, USA",-122.3,37.86,Aquatic Park,,,,,,,,,,,,,,,,,,,
910,Folger Avenue,Berkeley,Alameda County,California,United States,94710,"910 Folger Ave, Berkeley, CA 94710, USA",-122.29,37.85,,2820,,,,,,,,,,,,,,,,,,
1545,Addison Street,Berkeley,Alameda County,California,United States,94703,"1545 Addison St, Berkeley, CA 94703, USA",-122.28,37.87,Central Berkeley,1401,,,,,,,,,,,,,,,,,,
1970,Curtis Street,Berkeley,Alameda County,California,United States,94702,"1970 Curtis St, Berkeley, CA 94702, USA",-122.29,37.87,Northwest Berkeley,,,,,,,,,,,,,,,,,,,
2002,Center Street,Berkeley,Alameda County,California,United States,94704,"2002 Center St, Berkeley, CA 94704, USA",-122.27,37.87,Downtown Berkeley,,,,,,,,,,,,,,,,,,,
15,Canyon Road,Berkeley,Alameda County,California,United States,94704,"15 Canyon Rd, Berkeley, CA 94704, USA",-122.25,37.87,,1815,,,,,,,,,,,,,,,,,,
,,Berkeley,Alameda County,California,United States,94720,"Cesar Chavez Student Center, Berkeley, CA 94720, USA",-122.26,37.87,,,,,Cesar Chavez Student Center,,,,,,,,,,,,,,,
2637,Sacramento Street,Berkeley,Alameda County,California,United States,94702,"2637 Sacramento St, Berkeley, CA 94702, USA",-122.28,37.86,South Berkeley,2320,,,,,,,,,,,,,,,,,,
2527,Tenth Street,Berkeley,Alameda County,California,United States,94710,"2527 Tenth St, Berkeley, CA 94710, USA",-122.29,37.86,Southwest Berkeley,2519,,,,,,,,,,,,,,,,,,
2652,Milvia Street,Berkeley,Alameda County,California,United States,94704,"2652 Milvia St, Berkeley, CA 94704, USA",-122.27,37.86,South Berkeley,,,,,,,,,,,,,,,,,,,
